WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((-6.390609801961712 387.7076480531275, -5.162054069196244 382.16206372424153, -7.0912245829094855 377.65220916467, -4.949595375891351 372.26931774220134, -2.1086227897374674 372.2567360696314, -0.1284429722636463 375.47000709357803, -0.2805225780217219 380.1641994954218, 1.9710578758233903 382.7815546813338, 3.1527437091750086 385.90820037056915, 2.045846206776612 391.8671636944657, -1.0740232601573687 397.7093228960814, -4.064738250886089 398.7311994016966, -5.794569026452151 396.1276138902724, -4.4879730222259315 391.0911807436048, -6.390609801961712 387.7076480531275)))",98.0,w1208043425,1208043425,way,bunker,multipolygon,bunker,Greens and bunks,2,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-29.518966574246317 382.38687974572827, -29.882239765070306 375.1192806234815, -26.099010163456022 371.1726933859029, -21.01119866393978 369.7552579105934, -19.348269740513494 373.31226418080973, -22.171442672711375 380.6957023354619, -23.335328853536375 384.93991312658295, -25.732512307609596 390.7074992579385, -28.33300286507652 394.55232363712753, -31.775638936059487 392.7102928065517, -31.075414388086966 387.49304023034824, -29.518966574246317 382.38687974572827)))",99.0,w1208043426,1208043426,way,bunker,multipolygon,bunker,Greens and bunks,2,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-21.778245338789713 382.17631721210523, -25.996834202314894 391.6407265175519, -29.32805040983709 399.5599889032826, -30.10149186662048 403.98025698602055, -30.342542459526562 409.19745383550776, -28.461905578348592 412.98214607812156, -25.443546999259876 415.831376904913, -21.4537373732617 416.06871380885536, -17.05951016899499 414.9391952288272, -12.936983618571132 410.8020971022745, -10.666304834902284 404.63177332985083, -10.090919124449188 397.8487471812434, -8.99958897294872 384.8668801525116, -11.02515538629298 376.384839328465, -5.442172001774617 362.7400394896051, -2.1002789412618794 350.73950999198246, 0.3249551179609676 337.85324797203543, 7.208704092322926 323.24264074790904, 11.257459856626408 311.6559512630272, 11.521993653063094 292.09659504663364, 16.214230753413865 260.64777355825413, 19.280250189537657 232.5680159676233, 21.593023764508846 208.00725112443956, 24.654414954470386 187.8516725704833, 26.719984428723272 168.6980429980497, 26.310688939693453 153.81910950383485, 21.545253812680322 147.64804355012643, 16.37752850375528 147.22463619677796, 8.57624355307618 150.4162166901267, 1.8591491719764788 155.43628124988004, -3.7607426851335704 165.07909345658504, -7.831152174319076 181.22482178414316, -6.8179944693189976 192.61031849476353, -4.783475779219462 202.7613623885543, 1.2394867214648626 217.91627450218243, 1.7267889114679167 227.60835711462846, -4.471807733289648 241.2186491763316, -13.043747961813944 255.83105740143196, -20.607802825742997 271.43133843403916, -23.635938206836965 283.47386087799464, -24.63448106170168 299.4276825997156, -26.34215458508996 319.48413773732796, -25.020203130267817 340.09673725054995, -21.462100103885806 357.96693996624185, -17.70720014726881 368.3731534529636, -17.111297841801317 375.1299675738926, -18.9970601985761 378.59004151747854, -21.778245338789713 382.17631721210523)))",101.0,w1208043428,1208043428,way,fairway,multipolygon,fairway,Greens and bunks,2,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-13.724783964459032 380.3717299665607, -12.73885234221737 382.31514622873306, -11.995647636008067 385.2199851615944, -11.952413615074573 396.39118815096367, -12.331489137344683 400.44962232853436, -13.236189390731909 405.5865619361077, -13.93265427566224 408.32557964200646, -15.594601324506725 411.26901723247215, -18.37285971883531 412.958576022462, -20.883730999672746 413.4813423644175, -23.107332180294023 413.47416369476946, -25.307152235388518 413.28874930401184, -27.906484682505152 409.87231479125626, -28.698176867904266 406.7966974474177, -27.96324048157647 400.3690535219687, -24.574907615826938 390.40888528027267, -21.028192674794322 382.6465480400941, -17.966746935291987 379.02459176521575, -15.581860013748793 379.05569258824585, -13.724783964459032 380.3717299665607)))",102.0,w1208043429,1208043429,way,green,multipolygon,green,Greens and bunks,2,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((6.893123227828622 10.197726355212353, 7.561147273204688 -0.6953069250300814, 7.836678922015519 -9.89481465021413, 4.913560229112293 -12.071028585274917, -0.9694597463898701 -13.620674211603045, -3.3689321471079583 -14.174234873609066, -6.0981135161155695 -10.525717011931874, -7.90515374431936 -3.659543408278978, -8.174288511433206 2.9803272692640803, -7.529967963226319 9.076343941336518, -4.3075847533826135 11.880858790538014, 2.158499707752369 14.191780465858983, 5.31444473012087 12.933126862066047, 6.893123227828622 10.197726355212353)))",121.0,w1211363241,1211363241,way,tee,multipolygon,tee,Greens and bunks,2,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((15.300933870324425 95.76169094677311, 10.846193634506388 89.81684940889295, 0.4527277236166744 84.70375753448593, -1.5058008405920777 89.13231104834608, -1.867327423637217 101.29139707556419, -2.6580090701379206 113.83537528936927, -4.91723067949582 125.89135923429126, -7.382324879693319 136.60384924900768, -11.782536804188103 143.1380039539033, -14.011358301597962 155.16216929339294, -17.462739369221648 163.9818842363968, -18.122069564300087 177.56162952885575, -16.95519097237943 190.88535789098728, -15.974335393260988 198.90720517449722, -16.01214675457786 210.29353036679254, -15.671767880669139 218.53572669684013, -14.817928491974914 223.3957807776062, -8.533484828136748 233.37214049946056, -4.7303492755336425 239.7257690152867, -5.0471773884442825 248.1093940147423, -6.8774738033759375 257.61102213280196, -7.858845750207746 263.84547569290703, -6.932873833174344 270.38186676299233, -3.9084690916965292 277.7273529011825, -0.3821482391520437 282.7313803902564, 0.8910363570643571 290.2704676744668, -1.838903939492114 293.03135749263106, -0.6354454922124981 302.47561908002467, 3.2248701658212555 317.64107894721406, 5.302579473963287 333.29014079949843, 8.806925320421467 341.32261082111086, 11.194567861248029 345.6862534206391, 12.061346397789777 353.10426591525015, 7.772932840850312 357.86600169619874, 1.7600946792370786 362.24684875922435, -3.611050812596132 368.31862817889373, -3.6497050151092165 371.7502533672007, 0.1879027259813799 378.24459191405253, 6.569445520579822 381.6262809892112, 14.058967802417223 378.07848546108175, 21.36808713623429 374.44628858278406, 26.631411950958597 364.6461807447656, 26.546892174845663 356.05582734817176, 22.231494299415054 350.04550105626436, 22.086455247900805 344.1703515299025, 25.28604929569751 335.8713222881772, 26.18363437584388 332.7460791809028, 26.460559010529927 330.3508163656704, 25.062636898910682 322.02618958465905, 24.070576718300803 313.46962568752474, 24.420551126218626 307.0602931665269, 23.177112577228193 302.8812392131465, 23.16924714856614 290.81948737792686, 23.82153921193241 282.55083006979817, 19.55820219347083 275.29669436929566, 17.744667151500177 266.04096322645887, 17.97507215215237 255.0155737591365, 19.439504503251 245.43079655000497, 20.44393971207033 236.87392428261205, 21.192847856771493 231.79887877920805, 17.951833433859125 222.20503946650638, 11.9831573879823 217.74834367791186, 7.681480428072953 212.1093814380663, 5.105459575936576 199.34444950203783, 7.6717249862925145 182.20981747018072, 11.02495975266311 170.10166104864652, 14.878674801992638 161.2304922691385, 18.519928868483934 151.00665349315818, 18.154223601812642 133.29248234026522, 17.29384467936603 114.53709397857324, 15.900477697999687 96.59671337914801, 15.300933870324425 95.76169094677311), (18.503204142781 351.8423389954876, 23.568802743822523 355.41205573393086, 24.414030469970715 360.2971951845427, 22.91866165252596 364.85170917524897, 21.230103984756443 368.2101724937331, 19.229817462994475 370.6895189041586, 16.28199266812987 373.5177410212384, 12.271566460615592 376.3491862931676, 8.784946981077006 377.79664574619005, 5.703568681825633 377.9360016237058, 2.8795541619848803 377.58097858944325, -0.9621845136658713 375.14107828964484, -2.463947393587119 371.9556369972713, -1.8547469555215652 368.28042494092074, 4.540064795094758 362.9854808867128, 11.059358652351886 356.0655611682671, 15.122440927824622 352.8254214298147, 18.503204142781 351.8423389954876)))",2.0,r16389191,16389191,relation,fairway,multipolygon,fairway,Fairways,3,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((4.419799124230351 -21.231656247692854, 5.082508468366329 -7.701671428527561, 6.306633793717466 5.497851497126476, 6.589206259854743 22.929381168313512, -2.6974683631263288 23.584836047128874, -5.94752864119323 9.918206344485725, -4.641268818978518 -0.368899591491072, -6.783518402454593 -12.993183173651914, -7.040577911998223 -23.97444732412282, -1.2607554583068263 -22.839828328388876, 4.419799124230351 -21.231656247692854)))",100.0,w1208043427,1208043427,way,tee,multipolygon,tee,Greens and bunks,3,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((21.28019154575133 195.304644162901, 24.252645362028836 200.1490758642501, 26.135362425700347 207.1466207930041, 24.060554763091687 209.31824035187788, 20.72614017116054 212.5350189196854, 16.48769535571174 210.65498228051524, 13.6963163162128 207.45322141643896, 14.2880891027484 201.89976798371958, 15.461068596233263 196.28443238395562, 15.64697945033014 190.96291606735917, 17.716652318801497 188.15379557099163, 20.241877132497322 190.18766010413742, 21.4093154001883 194.446260561607, 21.28019154575133 195.304644162901)))",106.0,w1208043433,1208043433,way,bunker,multipolygon,bunker,Greens and bunks,3,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((18.503204142781 351.8423389954876, 23.568802743822523 355.41205573393086, 24.414030469970715 360.2971951845427, 22.91866165252596 364.85170917524897, 21.230103984756443 368.2101724937331, 19.229817462994475 370.6895189041586, 16.28199266812987 373.5177410212384, 12.271566460615592 376.3491862931676, 8.784946981077006 377.79664574619005, 5.703568681825633 377.9360016237058, 2.8795541619848803 377.58097858944325, -0.9621845136658713 375.14107828964484, -2.463947393587119 371.9556369972713, -1.8547469555215652 368.28042494092074, 4.540064795094758 362.9854808867128, 11.059358652351886 356.0655611682671, 15.122440927824622 352.8254214298147, 18.503204142781 351.8423389954876)))",107.0,w1208043435,1208043435,way,green,multipolygon,green,Greens and bunks,3,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((3.038537331533405 342.89217207927663, 6.843576224570087 343.2972116698272, 9.129748838419214 346.48130819340736, 9.008505959749332 349.9833038143595, 4.75534636040045 352.6991552662764, 2.920339351312308 356.0019668703046, -1.5744143016458167 359.7903513569065, -7.309206257242515 358.0139410325785, -4.723760882105655 349.7309136041292, -3.613579343331549 344.4545281634771, 0.7057962225454747 344.96410711653994, 3.038537331533405 342.89217207927663)))",108.0,w1208043436,1208043436,way,bunker,multipolygon,bunker,Greens and bunks,3,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
