roundid,holeid,hnum,shotid,stroke,startpos,holedis,shots_to_hole_out,holedis_yards
87029,1562039,9,5016589,3,4,11,1,3.6666666666666665
87029,1562040,10,5016593,4,4,25,2,8.333333333333334
87029,1562040,10,5016594,5,4,2,1,0.6666666666666666
87029,1562041,11,5016597,3,4,30,2,10.0
87029,1562041,11,5016598,4,4,3,1,1.0
87029,1562042,12,5016601,3,4,10,2,3.3333333333333335
87029,1562042,12,5016602,4,4,1,1,0.3333333333333333
87029,1562043,13,5016604,2,4,12,2,4.0
87029,1562043,13,5016605,3,4,1,1,0.3333333333333333
87029,1562044,14,5016608,3,4,15,2,5.0
87029,1562044,14,5016609,4,4,1,1,0.3333333333333333
87029,1562045,15,5016612,3,4,3,1,1.0
87029,1562046,16,5016615,3,4,10,2,3.3333333333333335
87029,1562046,16,5016616,4,4,1,1,0.3333333333333333
87029,1562047,17,5016618,2,4,30,2,10.0
87029,1562047,17,5016619,3,4,2,1,0.6666666666666666
87029,1562048,18,5016623,4,4,4,1,1.3333333333333333
86913,1559943,1,5010462,4,4,21,2,7.0
86913,1559943,1,5010463,5,4,1,1,0.3333333333333333
86913,1559944,2,5010468,5,4,2,1,0.6666666666666666
86913,1559945,3,5010471,3,4,30,2,10.0
86913,1559945,3,5010472,4,4,1,1,0.3333333333333333
86922,1560105,1,5010879,4,4,9,2,3.0
86922,1560105,1,5010880,5,4,1,1,0.3333333333333333
86922,1560106,2,5010884,4,4,3,1,1.0
86922,1560107,3,5010888,4,4,12,2,4.0
86922,1560107,3,5010889,5,4,1,1,0.3333333333333333
86922,1560108,4,5010891,2,4,12,1,4.0
86922,1560109,5,5010894,3,4,30,2,10.0
86922,1560109,5,5010895,4,4,3,1,1.0
86922,1560110,6,5010898,3,4,30,2,10.0
86922,1560110,6,5010899,4,4,2,1,0.6666666666666666
86922,1560111,7,5010904,5,4,12,2,4.0
86922,1560111,7,5010905,6,4,1,1,0.3333333333333333
86922,1560112,8,5010909,4,4,10,2,3.3333333333333335
86922,1560112,8,5010910,5,4,1,1,0.3333333333333333
86922,1560113,9,5010913,3,4,20,2,6.666666666666667
86922,1560113,9,5010914,4,4,1,1,0.3333333333333333
86922,1560116,12,5010917,3,4,30,2,10.0
86922,1560116,12,5010918,4,4,2,1,0.6666666666666666
86922,1560118,14,5010921,3,4,10,2,3.3333333333333335
86922,1560118,14,5010922,4,4,1,1,0.3333333333333333
86922,1560119,15,5010924,2,4,60,2,20.0
86922,1560119,15,5010925,3,4,3,1,1.0
87125,1563759,1,5022477,3,4,30,2,10.0
87125,1563759,1,5022478,4,4,2,1,0.6666666666666666
87125,1563760,2,5022482,4,4,10,2,3.3333333333333335
87125,1563760,2,5022483,5,4,1,1,0.3333333333333333
87125,1563761,3,5022486,3,4,4,1,1.3333333333333333
87125,1563762,4,5022488,2,4,20,2,6.666666666666667
87125,1563762,4,5022489,3,4,1,1,0.3333333333333333
87125,1563763,5,5022493,4,4,12,1,4.0
87125,1563764,6,5022497,4,4,1,1,0.3333333333333333
87140,1564038,10,5023384,4,4,9,2,3.0
87140,1564038,10,5023385,5,4,1,1,0.3333333333333333
87140,1564039,11,5023388,3,4,20,2,6.666666666666667
87140,1564039,11,5023389,4,4,2,1,0.6666666666666666
87140,1564040,12,5023393,4,4,10,2,3.3333333333333335
