x,y,lie
-117.10582302872498,29.901609692608872,rough
-117.10582302872498,30.901609692608872,rough
-117.10582302872498,31.901609692608872,rough
-117.10582302872498,32.90160969260887,rough
-117.10582302872498,33.90160969260887,rough
-117.10582302872498,34.90160969260887,rough
-117.10582302872498,35.90160969260887,rough
-117.10582302872498,36.90160969260887,rough
-117.10582302872498,37.90160969260887,rough
-117.10582302872498,38.90160969260887,rough
-117.10582302872498,39.90160969260887,rough
-117.10582302872498,40.90160969260887,rough
-117.10582302872498,41.90160969260887,rough
-117.10582302872498,42.90160969260887,rough
-117.10582302872498,43.90160969260887,rough
-117.10582302872498,44.90160969260887,rough
-117.10582302872498,45.90160969260887,rough
-117.10582302872498,46.90160969260887,rough
-117.10582302872498,47.90160969260887,rough
-117.10582302872498,48.90160969260887,rough
-117.10582302872498,49.90160969260887,rough
-117.10582302872498,50.90160969260887,rough
-117.10582302872498,51.90160969260887,rough
-117.10582302872498,52.90160969260887,rough
-117.10582302872498,53.90160969260887,rough
-117.10582302872498,54.90160969260887,rough
-117.10582302872498,55.90160969260887,rough
-117.10582302872498,56.90160969260887,rough
-117.10582302872498,57.90160969260887,rough
-117.10582302872498,58.90160969260887,rough
-117.10582302872498,59.90160969260887,rough
-117.10582302872498,60.90160969260887,rough
-117.10582302872498,61.90160969260887,rough
-117.10582302872498,62.90160969260887,rough
-117.10582302872498,63.90160969260887,rough
-117.10582302872498,64.90160969260887,rough
-117.10582302872498,65.90160969260887,rough
-117.10582302872498,66.90160969260887,rough
-117.10582302872498,67.90160969260887,rough
-117.10582302872498,68.90160969260887,rough
-117.10582302872498,69.90160969260887,rough
-117.10582302872498,70.90160969260887,rough
-117.10582302872498,71.90160969260887,rough
-117.10582302872498,72.90160969260887,rough
-117.10582302872498,73.90160969260887,rough
-117.10582302872498,74.90160969260887,rough
-117.10582302872498,75.90160969260887,rough
-117.10582302872498,76.90160969260887,rough
-117.10582302872498,77.90160969260887,rough
-117.10582302872498,78.90160969260887,rough
-117.10582302872498,79.90160969260887,rough
-117.10582302872498,80.90160969260887,rough
-117.10582302872498,81.90160969260887,rough
-117.10582302872498,82.90160969260887,rough
-117.10582302872498,83.90160969260887,rough
-117.10582302872498,84.90160969260887,rough
-117.10582302872498,85.90160969260887,rough
-117.10582302872498,86.90160969260887,rough
-117.10582302872498,87.90160969260887,rough
-117.10582302872498,88.90160969260887,rough
-117.10582302872498,89.90160969260887,rough
-117.10582302872498,90.90160969260887,rough
-117.10582302872498,91.90160969260887,rough
-117.10582302872498,92.90160969260887,rough
-117.10582302872498,93.90160969260887,rough
-117.10582302872498,94.90160969260887,rough
-117.10582302872498,95.90160969260887,rough
-117.10582302872498,96.90160969260887,rough
-117.10582302872498,97.90160969260887,rough
-117.10582302872498,98.90160969260887,rough
-117.10582302872498,99.90160969260887,rough
-117.10582302872498,100.90160969260887,rough
-117.10582302872498,101.90160969260887,rough
-117.10582302872498,102.90160969260887,rough
-117.10582302872498,103.90160969260887,rough
-117.10582302872498,104.90160969260887,rough
-117.10582302872498,105.90160969260887,rough
-117.10582302872498,106.90160969260887,rough
-117.10582302872498,107.90160969260887,rough
-117.10582302872498,108.90160969260887,rough
-117.10582302872498,109.90160969260887,rough
-117.10582302872498,110.90160969260887,rough
-117.10582302872498,111.90160969260887,rough
-117.10582302872498,112.90160969260887,rough
-117.10582302872498,113.90160969260887,rough
-117.10582302872498,114.90160969260887,rough
-117.10582302872498,115.90160969260887,rough
-117.10582302872498,116.90160969260887,rough
-117.10582302872498,117.90160969260887,rough
-117.10582302872498,118.90160969260887,rough
-117.10582302872498,119.90160969260887,rough
-117.10582302872498,120.90160969260887,rough
-117.10582302872498,121.90160969260887,rough
-117.10582302872498,122.90160969260887,rough
-117.10582302872498,123.90160969260887,rough
-117.10582302872498,124.90160969260887,rough
-117.10582302872498,125.90160969260887,rough
-117.10582302872498,126.90160969260887,rough
-117.10582302872498,127.90160969260887,rough
-117.10582302872498,128.90160969260887,rough
-117.10582302872498,129.90160969260887,rough
-117.10582302872498,130.90160969260887,rough
-117.10582302872498,131.90160969260887,rough
-117.10582302872498,132.90160969260887,rough
-117.10582302872498,133.90160969260887,rough
-117.10582302872498,134.90160969260887,rough
-117.10582302872498,135.90160969260887,rough
-117.10582302872498,136.90160969260887,rough
-117.10582302872498,137.90160969260887,rough
-117.10582302872498,138.90160969260887,rough
-117.10582302872498,139.90160969260887,rough
-117.10582302872498,140.90160969260887,rough
-117.10582302872498,141.90160969260887,rough
-117.10582302872498,142.90160969260887,rough
-117.10582302872498,143.90160969260887,rough
-117.10582302872498,144.90160969260887,rough
-117.10582302872498,145.90160969260887,rough
-117.10582302872498,146.90160969260887,rough
-117.10582302872498,147.90160969260887,rough
-117.10582302872498,148.90160969260887,rough
-117.10582302872498,149.90160969260887,rough
-117.10582302872498,150.90160969260887,rough
-117.10582302872498,151.90160969260887,rough
-117.10582302872498,152.90160969260887,rough
-117.10582302872498,153.90160969260887,rough
-117.10582302872498,154.90160969260887,rough
-117.10582302872498,155.90160969260887,rough
-117.10582302872498,156.90160969260887,rough
-117.10582302872498,157.90160969260887,rough
-117.10582302872498,158.90160969260887,rough
-117.10582302872498,159.90160969260887,rough
-117.10582302872498,160.90160969260887,rough
-117.10582302872498,161.90160969260887,rough
-117.10582302872498,162.90160969260887,rough
-117.10582302872498,163.90160969260887,rough
-117.10582302872498,164.90160969260887,rough
-117.10582302872498,165.90160969260887,rough
-117.10582302872498,166.90160969260887,rough
-117.10582302872498,167.90160969260887,rough
-117.10582302872498,168.90160969260887,rough
-117.10582302872498,169.90160969260887,rough
-117.10582302872498,170.90160969260887,rough
-117.10582302872498,171.90160969260887,rough
-117.10582302872498,172.90160969260887,rough
-117.10582302872498,173.90160969260887,rough
-117.10582302872498,174.90160969260887,rough
-117.10582302872498,175.90160969260887,rough
-117.10582302872498,176.90160969260887,rough
-117.10582302872498,177.90160969260887,rough
-117.10582302872498,178.90160969260887,rough
-117.10582302872498,179.90160969260887,rough
-117.10582302872498,180.90160969260887,rough
-117.10582302872498,181.90160969260887,rough
-117.10582302872498,182.90160969260887,rough
-117.10582302872498,183.90160969260887,rough
-117.10582302872498,184.90160969260887,rough
-117.10582302872498,185.90160969260887,rough
-117.10582302872498,186.90160969260887,rough
-117.10582302872498,187.90160969260887,rough
-117.10582302872498,188.90160969260887,rough
-117.10582302872498,189.90160969260887,rough
-117.10582302872498,190.90160969260887,rough
-117.10582302872498,191.90160969260887,rough
-117.10582302872498,192.90160969260887,rough
-117.10582302872498,193.90160969260887,rough
-117.10582302872498,194.90160969260887,rough
-117.10582302872498,195.90160969260887,rough
-117.10582302872498,196.90160969260887,rough
-117.10582302872498,197.90160969260887,rough
-117.10582302872498,198.90160969260887,rough
-117.10582302872498,199.90160969260887,rough
-117.10582302872498,200.90160969260887,rough
-117.10582302872498,201.90160969260887,rough
-117.10582302872498,202.90160969260887,rough
-117.10582302872498,203.90160969260887,rough
-117.10582302872498,204.90160969260887,rough
-117.10582302872498,205.90160969260887,rough
-117.10582302872498,206.90160969260887,rough
-117.10582302872498,207.90160969260887,rough
-117.10582302872498,208.90160969260887,rough
-117.10582302872498,209.90160969260887,rough
-117.10582302872498,210.90160969260887,rough
-117.10582302872498,211.90160969260887,rough
-117.10582302872498,212.90160969260887,rough
-117.10582302872498,213.90160969260887,rough
-117.10582302872498,214.90160969260887,rough
-117.10582302872498,215.90160969260887,rough
-117.10582302872498,216.90160969260887,rough
-117.10582302872498,217.90160969260887,rough
-117.10582302872498,218.90160969260887,rough
-117.10582302872498,219.90160969260887,rough
-117.10582302872498,220.90160969260887,rough
-117.10582302872498,221.90160969260887,rough
-117.10582302872498,222.90160969260887,rough
-117.10582302872498,223.90160969260887,rough
-117.10582302872498,224.90160969260887,rough
-117.10582302872498,225.90160969260887,rough
-117.10582302872498,226.90160969260887,rough
-117.10582302872498,227.90160969260887,rough
-117.10582302872498,228.90160969260887,rough
-117.10582302872498,229.90160969260887,rough
-117.10582302872498,230.90160969260887,rough
-117.10582302872498,231.90160969260887,rough
-117.10582302872498,232.90160969260887,rough
-117.10582302872498,233.90160969260887,rough
-117.10582302872498,234.90160969260887,rough
-117.10582302872498,235.90160969260887,rough
-117.10582302872498,236.90160969260887,rough
-117.10582302872498,237.90160969260887,rough
-117.10582302872498,238.90160969260887,rough
-117.10582302872498,239.90160969260887,rough
-117.10582302872498,240.90160969260887,rough
-117.10582302872498,241.90160969260887,rough
-117.10582302872498,242.90160969260887,rough
-117.10582302872498,243.90160969260887,rough
-117.10582302872498,244.90160969260887,rough
-117.10582302872498,245.90160969260887,rough
-117.10582302872498,246.90160969260887,rough
-117.10582302872498,247.90160969260887,rough
-117.10582302872498,248.90160969260887,rough
-117.10582302872498,249.90160969260887,rough
-117.10582302872498,250.90160969260887,rough
